date,display_category,top_level_group,listing_count,avg_price_usd,pct_new_condition
2024-10-03,Bridge and transmission,Auto parts,0,60.0,1.0
2024-10-04,Bridge and transmission,Auto parts,0,60.0,1.0
2024-10-05,Bridge and transmission,Auto parts,0,60.0,1.0
2024-10-06,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-07,Chassis parts and components (GE),Auto parts,0,11.0,1.0
2024-09-08,Chassis parts and components (GE),Auto parts,1,11.0,1.0
2024-09-09,Chassis parts and components (GE),Auto parts,0,11.0,1.0
2024-09-10,Chassis parts and components (GE),Auto parts,0,11.0,1.0
2024-09-11,Chassis parts and components (GE),Auto parts,0,11.0,1.0
2024-09-12,Chassis parts and components (GE),Auto parts,0,11.0,1.0
2024-09-13,Chassis parts and components (GE),Auto parts,1,682.0,0.0
2024-09-14,Chassis parts and components (GE),Auto parts,0,682.0,0.0
2024-09-15,Chassis parts and components (GE),Auto parts,0,682.0,0.0
2024-09-16,Chassis parts and components (GE),Auto parts,0,682.0,0.0
2024-09-17,Chassis parts and components (GE),Auto parts,0,682.0,0.0
2024-09-18,Chassis parts and components (GE),Auto parts,1,600.0,0.0
2024-09-19,Chassis parts and components (GE),Auto parts,0,600.0,0.0
2024-09-20,Chassis parts and components (GE),Auto parts,0,600.0,0.0
2024-09-21,Chassis parts and components (GE),Auto parts,0,600.0,0.0
2024-09-22,Chassis parts and components (GE),Auto parts,0,600.0,0.0
2024-09-23,Chassis parts and components (GE),Auto parts,1,163.0,1.0
2024-09-24,Chassis parts and components (GE),Auto parts,0,163.0,1.0
2024-09-25,Chassis parts and components (GE),Auto parts,1,150.0,0.0
2024-09-26,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-09-27,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-09-28,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-09-29,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-09-30,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-01,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-02,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-03,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-04,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-05,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-10-06,Chassis parts and components (GE),Auto parts,0,150.0,0.0
2024-09-07,Disassembled vehicles,Disassembled vehicles,28,0.0,0.0
2024-09-08,Disassembled vehicles,Disassembled vehicles,23,0.0,0.0
